"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,青埔里,791,808401,11165,15640,638624,29773,14945,8855,1514,73429,218,11518,352,2369,534487,704264,1074
,新街里,685,677443,12131,24376,479495,36385,12927,1920,714,99283,2129,6847,45,1191,401808,599742,1016
,興南里,1074,1065631,20652,32071,763461,46518,41880,12824,1141,133072,667,10571,19,2754,644876,947046,727
,興國里,683,569330,20659,8994,385113,44176,31411,4011,1666,61900,2448,7239,0,1714,312549,496766,350
,中壢里,213,177317,4405,3268,100658,15994,17942,630,156,31015,1669,507,287,786,79737,156313,623
,中榮里,274,617160,16802,14876,144292,14816,30558,1255,144,390006,183,3585,0,644,117170,590038,15
,中建里,365,308553,10045,12958,142006,22726,41350,1022,228,72070,175,3445,0,2529,114106,280654,229
,舊明里,495,411374,10024,20501,275311,25165,13413,2391,545,53547,2282,2981,0,5213,224739,360834,76
,新明里,1189,1000016,19365,32030,693746,68331,29962,2105,914,127694,116,21848,112,3792,560735,867005,662
,三民里,912,764363,15446,14640,592822,33754,16888,2048,615,78467,86,8095,0,1502,478366,649907,213
,五權里,2053,2228617,35242,43480,1578546,84895,51591,7301,2160,368229,6413,40166,404,10190,1313788,1965187,3597
,芝芭里,809,825355,23195,6927,618349,35009,14059,4009,558,101478,733,12026,0,9013,512319,719771,499
,內厝里,1447,1525400,21746,21758,1095450,65524,40887,3126,1333,235268,328,22584,241,17154,902401,1332340,3514
,月眉里,1305,1064368,22340,12276,874277,33335,9269,4154,747,94464,154,12130,0,1222,693574,883666,275
,山東里,1014,853138,24783,5690,663901,28527,19181,1944,534,87120,1725,13658,0,6076,524511,713748,302
,過嶺里,1484,1595128,17633,20081,1272451,51028,17949,9017,4174,184189,240,17097,0,1270,1060665,1383432,1195
,興仁里,1022,839378,7898,13575,713492,30878,7943,4334,936,49616,312,7484,0,2910,582667,708552,856
,中原里,1246,1050507,16737,14181,809045,59440,39176,3014,1310,92214,2016,12175,0,1198,658721,900183,283
,自立里,1390,1073838,8866,25524,890759,54419,3675,6878,1143,65069,732,15985,0,788,716899,899979,366
,洽溪里,839,862676,14576,15756,706685,29451,9292,6444,1007,68887,647,9267,4,659,593519,749509,559
,中堅里,1135,1037907,9261,18504,899904,33348,4216,7394,1169,45726,664,16757,0,964,741655,879658,274
,永興里,304,229064,7869,2406,152569,16743,20067,679,206,25615,14,1736,0,1160,122694,199667,251
,光明里,1890,2045753,22854,54737,1457244,131949,30862,9517,2436,304332,4341,24408,458,2614,1228128,1816670,2691
,中央里,1320,1291664,13284,89218,845346,99605,67316,2577,1356,154595,452,13879,511,3525,706052,1152503,1881
,龍岡里,1395,1100118,17663,14477,945157,54737,6379,4026,1514,38545,685,15242,54,1641,763232,918585,575
,中正里,1527,1317465,16011,23119,1107116,44992,7187,7616,1505,78205,444,16979,1084,13206,900626,1110849,2345
,篤行里,819,795211,12393,16094,650723,20873,6484,6355,1268,67279,0,11346,0,2396,534614,679721,485
,信義里,1585,1586539,15263,37493,1268219,79725,19305,3362,2272,135785,1317,22071,181,1549,1066618,1384939,1528
,忠義里,1149,1079167,10815,20028,870542,28792,18178,7098,849,104274,44,17302,94,1151,717776,926402,567
,忠福里,2484,2213710,30743,40428,1797313,80292,25885,11307,2281,190880,664,30351,0,3567,1473917,1890314,513
,東興里,1091,1139691,17538,23073,775138,66868,34388,3207,1112,188057,122,27351,219,2619,644668,1009214,1432
,復興里,3057,2755803,25833,32525,2415743,72515,16091,7414,2798,133896,417,44557,1042,2971,1982103,2322178,2566
,自強里,1182,1164746,13083,20205,989122,52136,9198,3057,1276,59136,974,13606,0,2952,828142,1003766,621
,龍平里,782,586831,9830,10791,487027,33177,6591,2195,599,25713,321,8657,0,1929,388667,488470,219
,成功里,1347,1147661,15296,15895,961415,38175,4466,3064,1214,89474,16,15789,0,2856,772885,959131,778
,龍興里,1379,1155442,12203,20065,976396,47365,7317,4432,977,63026,715,20350,54,2541,798650,977695,839
,仁愛里,985,885304,11688,10944,718841,31372,10027,3069,792,85974,18,9785,185,2609,588536,754999,1039
,仁德里,890,646830,10621,9145,562008,17747,2969,1353,1365,25316,0,12085,280,3943,441439,526242,832
,仁祥里,810,564936,11511,9219,489727,17847,1244,621,914,24361,178,8375,0,938,380761,455970,294
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,龍東里,1292,1017129,9317,10232,857210,53324,9185,2904,946,59907,109,9396,19,4579,687872,848416,649
,龍昌里,1642,1251867,21546,15926,1070967,45565,11995,3037,1336,64242,873,14193,112,2076,848628,1029893,660
,文化里,2993,2667926,48083,27043,2225709,74652,19327,8311,2378,221146,847,31522,470,8439,1810977,2253194,1673
,振興里,1479,1147986,14157,17893,967476,47628,7791,3030,1421,70625,1238,14556,7,2165,774919,955785,427
,普慶里,862,789734,7341,15180,631974,31739,6490,1834,643,76825,7028,9408,0,1272,519699,677459,331
,興和里,911,755320,12630,9500,614435,29814,14952,1779,1469,60298,0,9781,53,611,496674,637560,712
,永光里,1791,1787370,24071,31071,1439710,76759,21102,8757,2903,154689,2172,23904,527,1705,1212561,1560448,2575
,復華里,1715,1411646,13747,15382,1216581,48924,6881,7884,1244,79968,221,16629,0,4184,985563,1181223,610
,忠孝里,1555,1565111,18401,22184,1309583,46880,12952,5475,1431,103704,204,42054,85,2158,1093309,1348837,712
,福德里,852,768573,14361,13536,577499,36246,13045,1315,671,98709,0,6347,83,6761,469263,660338,638
,和平里,827,650853,9528,8502,556959,24612,4491,1548,610,36094,326,7359,158,667,447547,541370,665
,普忠里,1045,1187387,14178,19120,899630,50488,26958,2096,1074,157010,23,13581,49,3179,763458,1051436,2333
,普強里,1261,1200536,8709,32760,956316,62589,18564,3334,833,97406,3903,10706,0,5414,795008,1039958,717
,明德里,1597,1464537,19795,22192,1173828,81686,21970,3239,1558,123678,688,12884,0,3020,972467,1263200,708
,至善里,1169,1023660,11714,11932,878853,33683,10631,2949,1092,57714,388,14242,0,461,716117,860962,748
,五福里,981,775888,15581,15989,596203,42306,14990,2547,716,66302,1020,11499,0,8736,483624,663309,292
,龍德里,1283,1212085,14474,19134,1035664,49570,5465,5041,1817,64563,1718,13805,96,740,859672,1036094,553
,正義里,1483,1344914,20880,22955,1026638,71082,31971,4302,814,147238,1623,12213,248,4950,844078,1162353,1026
,龍安里,568,438896,7354,10543,357020,24080,5913,988,352,25457,20,6432,44,695,285794,368087,261
,中山里,1641,1496448,16149,18756,1284573,50002,7423,2916,2302,93286,379,18701,64,1899,1055982,1267857,1271
,德義里,953,795755,8548,18857,647430,42016,11761,1320,587,56703,125,6692,44,1671,533698,682024,993
,仁義里,1286,1206912,12694,20095,981383,49540,19640,4448,898,98001,1663,16458,0,2093,813766,1039758,525
,華勛里,860,602709,8926,5247,519264,19549,4374,629,612,37339,262,5378,0,1131,406814,490259,417
,仁福里,1490,1208369,18610,11382,1038810,44870,4059,4368,1139,66146,218,15967,44,2757,837561,1007119,701
,幸福里,1965,1672683,31268,34301,1305081,63620,24590,5950,3522,178944,251,23532,118,1508,1050385,1417869,955
,永福里,1897,1686892,29234,25342,1348612,57494,24404,6066,1427,172050,4108,16639,0,1515,1094415,1432694,332
,仁和里,1099,843500,6450,8949,770107,20742,2194,2824,795,18605,128,9688,0,3016,610655,684533,100
,華愛里,1075,928793,14201,17297,797315,26472,4603,2266,1560,50227,369,10436,119,3928,646218,778245,567
,莊敬里,1065,941344,9783,13272,773647,53108,5262,4713,1181,66415,15,13389,173,386,633330,801027,917
