"表166-C(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：基 隆 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,義民里,229,169112,1421,2488,141388,9321,2697,149,134,9542,41,1025,0,904,115351,143074,152
,義和里,419,306995,5312,4307,244350,19785,6779,1017,430,22670,0,1849,347,150,196816,259461,715
,智慧里,248,216384,3282,5292,175607,14458,4264,658,204,9944,0,817,1341,518,147428,188206,2531
,智誠里,440,292981,4371,1495,252807,12710,2331,462,290,15371,1654,1406,0,84,199340,239514,82
"表166-C(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：基 隆 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,禮儀里,548,429411,4484,6145,359048,26354,5788,1156,270,22229,656,2989,0,291,293533,363896,277
,禮東里,570,521083,8156,15525,402413,31729,11702,2325,398,40589,1743,4775,0,1729,336405,455075,367
,信綠里,738,592169,7772,5940,490048,31631,6105,2213,428,35177,3719,7070,0,2067,402473,504594,225
,孝岡里,431,322666,7721,3662,282179,8710,3945,512,321,12523,143,2765,0,184,225160,265647,88
,孝深里,1035,668732,11830,10341,577717,14434,2470,1026,451,34311,912,14547,0,693,447016,538031,170
,東光里,629,455249,5495,6691,397923,20373,2993,431,382,17025,0,2886,260,791,322560,379887,620
,東安里,956,738373,13513,27270,591077,45019,12516,1210,637,36695,362,8503,33,1538,476859,624123,431
,義昭里,424,478424,8933,22461,335364,33978,14290,3303,250,51864,2264,3099,0,2620,288906,431967,399
,東明里,1218,945436,10896,23910,810794,39274,9673,1679,1569,34411,4012,6627,102,2491,659255,793897,957
,東信里,1432,1229746,13309,22610,1056731,49365,6956,1726,941,56493,727,18144,106,2638,875030,1048046,1266
,孝賢里,1160,1044884,16603,15367,776773,35039,6715,1375,972,182287,566,7790,8,1389,629211,897322,1043
,孝德里,740,479608,9858,6818,427221,11440,4444,798,361,10783,2445,4818,0,622,333713,386100,283
,孝忠里,2202,2004028,25893,31017,1713591,65845,18088,6174,2042,113251,952,21705,21,5449,1417402,1707838,1740
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,15232,12502600,183556,246854,10257469,583137,158895,30518,11203,853298,22829,124108,2435,28300,8386378,10631477,13230
其　他,其　他,20,13280,227,0,11322,802,117,233,12,305,0,46,0,217,9101,11058,0
,合　計,20,13280,227,0,11322,802,117,233,12,305,0,46,0,217,9101,11058,0
