"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,六南村,104,71629,1788,351,56238,6326,1369,110,57,5139,13,228,0,10,44417,59808,6
,六腳村,164,107973,1666,319,90022,8844,839,79,46,5491,0,668,0,0,72434,90385,11
,崩山村,99,67834,726,414,52853,3831,462,0,116,9097,0,336,0,0,41243,56224,36
,古林村,97,84489,3103,94,53712,2441,397,184,58,23567,0,826,0,107,42152,72928,0
,更寮村,100,90463,2456,354,57046,5643,911,0,32,23677,0,347,0,0,45395,78812,34
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4037,2764572,91753,25202,2186005,153019,24191,2632,2107,251648,2023,22486,262,3243,1730855,2309815,1754
東石鄉,東石村,258,156924,3608,858,138958,6086,321,334,189,5594,0,914,0,63,110411,128377,45
,猿樹村,150,99872,1973,1321,86930,3110,158,84,49,5452,0,759,0,36,70700,83643,18
,󻕯港村,204,122214,5959,2434,99899,5168,2011,771,100,4840,18,692,0,321,77497,99811,6
,型厝村,215,131636,2038,397,107276,4368,1749,4340,166,8542,0,1815,0,944,84020,108380,9
,三家村,212,133892,2818,2431,114906,4972,545,241,283,6654,16,837,0,190,91395,110382,0
,永屯村,124,72688,9378,575,46662,1720,512,0,86,12586,0,561,346,261,34402,60427,677
,海埔村,52,30858,1307,457,22808,1043,974,45,11,4002,0,212,0,0,17702,25753,0
,龍港村,127,88498,1276,1193,77599,2900,780,60,545,3222,0,880,0,42,63393,74292,34
,副瀨村,145,106181,2577,4352,84236,4991,3167,137,51,4994,0,1654,0,23,67785,89731,5
,下揖村,96,49496,3785,699,36823,2157,123,110,75,5611,0,114,0,0,27313,39986,100
,頂揖村,52,36066,3722,4,22864,1133,980,0,7,7087,147,118,0,5,17326,30529,1
,溪下村,134,84857,9637,476,67532,2777,342,243,64,3386,0,330,0,69,51056,68381,18
,港口村,43,22459,1145,10,19513,514,7,27,22,1148,0,74,0,0,15315,18261,0
,鰲鼓村,221,137863,4050,3704,109326,4829,352,37,93,14543,0,777,0,153,84911,113449,25
,港墘村,206,199326,2522,1788,127417,7236,3102,0,132,56251,0,779,0,100,102079,173988,77
,蔦松村,169,111498,6743,1660,84433,8439,660,13,45,8755,0,644,0,106,64218,91283,26
,圍潭村,84,57734,3262,1460,44925,3456,1092,535,11,1902,0,541,0,550,35161,47971,0
,洲仔村,137,85588,6138,238,67500,3986,500,224,55,6490,0,340,0,117,53139,71226,74
,東崙村,135,91108,3653,958,71528,4471,1844,72,125,7958,0,493,6,0,56260,75840,189
,西崙村,218,147180,2657,196,115869,7735,1610,526,87,16787,0,1713,0,0,90240,121551,5
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,󻕯仔村,152,88511,4469,2060,67009,4688,410,139,111,9080,0,542,0,2,50307,71808,3
,網寮村,175,106694,4923,823,86852,3754,1488,152,81,7968,0,654,0,0,66923,86766,43
,掌潭村,120,74656,1447,1060,66772,1753,378,54,50,1804,0,1294,0,43,52408,60291,19
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3429,2235798,89088,29155,1767635,91285,23105,8144,2437,204655,181,16736,353,3026,1383961,1852124,1375
義竹鄉,岸腳村,147,97746,813,983,82931,5684,316,29,216,4971,17,1559,227,0,65628,80442,513
,義竹村,379,287240,9690,4729,219397,22041,1764,93,203,25533,76,3702,0,10,174910,242752,59
,六桂村,284,193937,3078,5388,148277,14224,1562,351,147,18554,540,1491,0,324,116141,161800,9
,仁里村,218,162817,5709,2503,126548,15500,448,158,137,8790,568,2362,0,95,101693,137962,19
,傳芳村,155,96046,2016,2673,76856,4688,944,60,37,8028,36,578,0,129,59313,78503,2
,頭竹村,260,205973,5774,5760,161649,11210,1309,610,97,17713,0,1827,0,25,129443,173768,19
,五厝村,94,66830,1230,256,56340,894,186,0,205,7185,0,512,0,21,44555,55045,0
,中平村,69,50835,130,774,44280,3625,200,29,12,1574,0,211,0,0,35482,42037,0
,埤前村,146,106676,2194,1704,87518,5457,560,6,91,5884,0,3262,0,0,69664,88822,6
,平溪村,84,58598,1838,368,46618,2882,579,0,754,4990,0,522,0,48,36351,48331,24
,後鎮村,96,53946,477,1823,47173,1917,221,10,23,1946,0,217,0,139,35826,42599,2
,北華村,122,68967,1684,203,55387,4424,593,225,105,5793,20,533,0,0,42526,56106,4
,新店村,270,191266,4599,3166,155751,10786,2619,78,144,11965,109,1643,0,407,124220,159736,2
,東過村,160,97391,2674,389,85061,3363,287,87,55,4764,0,691,0,20,65651,77981,42
,西過村,158,87657,1834,787,65986,3624,709,294,44,12440,151,452,0,1335,50889,72560,4
,官和村,134,85252,1410,144,67500,2479,115,253,45,12499,0,807,0,0,52486,70238,34
,官順村,83,48269,1174,40,42928,1201,0,54,31,2575,0,233,0,34,33195,38536,1
,新富村,113,74270,3317,2442,60247,2959,1274,19,45,3708,0,254,0,4,47026,61048,1
,東光村,156,107864,6051,891,86310,4749,725,196,79,7877,0,940,0,46,67368,88922,44
,東榮村,67,46974,1056,621,35749,2962,149,0,25,6028,0,372,0,13,28315,39540,5
,龍蛟村,104,65404,2875,1012,48186,2542,1103,0,24,9021,0,642,0,0,36557,53775,0
,溪洲村,110,64824,3349,251,48208,6104,1106,506,58,4952,0,291,0,0,36088,52704,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
