"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,德成村,224,167834,2055,1709,148582,9014,334,429,319,3888,345,1160,0,0,120781,140033,71
,復興村,293,199084,6446,2641,162980,6605,1268,396,119,15291,1488,1804,33,14,129265,165369,604
,崙上村,399,286060,4691,5571,240704,15368,1713,264,230,12132,1111,3965,140,172,191988,237345,518
,德榮村,284,195780,6407,7236,164049,6671,2880,124,83,5743,108,2268,8,205,128541,160273,250
,德和村,141,80578,2539,892,72952,1567,158,82,40,1487,0,832,0,28,55526,63152,30
,繁隆村,243,158238,2289,4020,135624,6476,765,393,665,5800,991,1211,0,3,107599,130213,28
,繁華村,439,283940,8835,3451,247538,10779,2823,166,282,6706,30,3176,0,152,196215,232617,25
,繁昌村,322,212265,4294,4786,179832,7644,921,104,88,11314,541,2366,0,374,141329,173761,41
,繁榮村,233,159887,9076,2143,134239,5101,336,223,445,7263,0,775,0,288,106368,132016,63
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,榮華村,106,69074,2251,547,58576,3200,689,163,109,3153,0,385,0,0,46391,57394,116
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,6058,4519596,100994,73656,3845232,198948,34360,10287,4399,192920,9368,42769,311,6351,3096664,3772636,4221
麟洛鄉,新田村,561,421534,6569,3587,370345,16981,3104,234,302,14412,190,5665,0,144,298919,350107,144
,麟頂村,268,208507,1642,6508,170778,10522,955,160,764,14696,0,2169,0,314,138184,175913,159
,麟蹄村,413,297425,5565,7000,250221,10357,3473,450,260,16017,619,2264,39,1161,200609,247813,313
,麟趾村,680,504607,6751,11567,423660,27059,3146,499,386,21280,201,5989,65,4004,342075,423015,535
,田心村,233,179563,3234,2848,154081,9162,2284,787,216,4859,215,1280,0,597,124902,150848,75
,田中村,318,250690,2688,2347,215472,12269,1733,455,228,11821,486,1497,216,1478,175571,210788,652
,田道村,166,114678,293,984,95856,5853,793,13,63,9863,0,962,0,0,76199,95021,33
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2639,1977003,26743,34841,1680413,92203,15487,2597,2218,92947,1711,19825,320,7697,1356460,1653506,1911
九如鄉,九清村,319,217725,9346,4223,168783,13317,2086,176,166,16503,0,2406,0,720,132629,181571,52
,九塊村,266,192642,4599,1200,160882,6708,583,87,222,15451,28,2645,0,236,127218,158978,113
,九明村,304,190756,6012,587,164103,6567,2734,141,186,8686,0,1604,0,136,129334,155988,91
,玉水村,254,177862,1431,790,149127,7965,2186,143,147,14302,0,1746,0,25,120519,149254,10
,玉泉村,346,240994,3372,4506,210435,8639,1390,75,162,9453,85,2878,0,0,168964,199523,98
,東寧村,969,667001,22047,12248,560284,20950,6895,855,2021,33573,495,6703,0,930,444097,550813,503
,大坵村,185,132758,3830,2388,97627,4873,428,65,160,20851,0,2516,0,19,76147,111278,4
,三塊村,267,151032,4372,1717,132806,4381,1245,319,123,4116,17,1931,0,4,103202,121848,30
,後庄村,339,210796,8021,4110,176518,8490,2734,230,184,9399,0,1110,0,0,137622,171900,11
,耆老村,249,171950,4409,759,140652,9536,5358,77,61,9255,15,1743,0,85,112824,144122,3
,洽興村,243,151314,5862,3491,125885,4757,341,70,192,9121,0,1593,0,1,97397,123066,24
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3741,2504830,73300,36020,2087103,96186,25982,2239,3623,150707,639,26874,0,2157,1649952,2068340,939
里港鄉,玉田村,708,494714,13680,5831,414663,24409,3965,912,399,24383,396,4182,0,1895,326755,407860,111
,大平村,274,184250,4515,6994,144870,12261,3250,401,202,9330,10,1537,0,880,115822,155202,112
,永春村,190,135383,3394,1953,112985,5133,1196,79,79,9318,0,1246,0,0,90543,112941,17
,春林村,293,207409,6021,5720,162156,12936,3819,831,207,12258,281,3070,0,109,128731,174363,24
,過江村,444,312973,25174,1560,255698,10108,2334,270,371,12453,202,4222,0,580,201122,259434,49
,鐵店村,299,213739,6598,1943,177431,8767,2452,174,272,13785,829,1451,0,37,140492,176800,144
,塔樓村,322,251254,8342,8929,180734,11348,1613,38,40,37050,0,3144,0,16,143969,214489,81
,潮厝村,299,207219,8436,881,172875,8855,900,593,137,12505,0,1658,0,380,136882,172166,11
,茄苳村,310,216915,7079,1585,182073,7681,2818,238,169,10953,1901,2350,0,69,143922,178765,9
,載興村,459,300609,8502,2250,260783,10872,1183,179,113,14231,78,2328,0,90,203516,244323,170
,土庫村,390,256333,15383,1869,211969,9752,2514,238,221,12778,150,1453,0,5,166596,210960,138
,三󿾴村,355,246726,11826,1119,195025,9115,2178,239,126,24068,0,1367,246,1415,153776,205231,683
,中和村,191,145715,4114,769,103888,6153,886,119,142,28856,0,698,0,91,81970,123797,1
,瀰力村,91,58512,2169,247,50959,1230,404,19,53,2461,0,969,0,0,39970,47998,2
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
