"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,國興里,557,525416,7337,20186,387744,31152,6858,2085,548,62944,2,5714,427,419,324073,462307,1964
,長榮里,723,543897,6395,12185,443319,38339,3004,1667,563,33652,106,4524,0,142,361709,462287,835
,中樓里,500,514811,7045,11069,322885,27460,7179,1314,311,133615,0,3975,0,-43,268381,460356,487
,公園里,562,498863,8865,17945,338834,49956,9090,1254,416,63277,841,5994,277,2113,283487,443516,1654
,玉皇里,443,418485,15225,13757,238804,22816,5700,743,405,118340,0,4096,0,-1401,191984,371665,192
,長德里,359,271518,6833,7397,202450,11073,4581,153,382,35502,0,2242,0,905,162759,231828,256
,三德里,313,239794,10333,4699,173345,14029,3886,5075,300,23062,801,3981,4,279,141644,208089,381
,五福里,307,211344,4860,9678,150538,11629,6080,350,223,25894,10,1686,300,97,121134,181827,1065
,元寶里,1057,989895,8590,23091,861570,32179,4815,2166,959,46137,286,9889,95,119,730490,858815,1925
,永祥里,800,517069,10532,6055,417416,35325,3841,2173,376,32733,0,7250,0,1368,325482,425135,642
,成德里,4314,5618638,127878,137043,4039662,238233,89245,13229,5304,892113,2528,64807,504,8091,3473414,5051036,7770
,文成里,1124,1263183,29733,36394,823675,59376,30930,3300,2496,259058,4513,12145,540,1022,686867,1126376,1597
,大和里,1164,886499,44768,14834,663149,38884,18541,1801,1076,94489,0,7706,126,1125,530211,753436,720
,賢北里,1220,1372708,22649,29073,861896,63455,26000,3294,1073,347984,672,12790,232,3591,714179,1224991,2283
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,34872,33866750,835809,805016,24228445,1687836,514740,81455,33303,5226160,48057,338218,10232,57479,20135972,29772578,63555
安南區,󻕯南里,1234,886362,46652,8991,707213,23589,10233,1912,1399,74381,6,11543,0,442,551588,730736,71
,東和里,825,1064881,34098,11819,776627,22829,11678,4167,467,190754,1732,10426,0,283,662492,950746,250
,州北里,1328,1032813,36598,14905,830844,41601,17228,950,916,77785,38,10460,0,1487,658194,860162,731
,州南里,1358,935161,45796,20673,708716,38124,27031,2547,576,75867,180,13917,162,1572,544361,770806,831
,安順里,1442,1206167,53271,13464,881218,35313,25012,4468,1306,177332,130,13033,546,1074,696288,1021238,1188
,新順里,1994,1656321,77411,19702,1208202,63147,35805,3733,1296,228312,66,16955,459,1233,956589,1404707,1752
,安東里,786,530771,18992,10505,414158,22951,8216,4201,609,45629,0,5045,0,467,320079,436693,253
,安西里,978,811336,34939,11980,618857,28052,12634,7639,960,88636,397,6073,634,534,496643,689122,1519
,安慶里,1817,1368734,54104,15455,1046714,45661,18708,1397,1271,170960,0,13722,0,742,824955,1146975,418
