"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,永安里,1469,1306632,43164,14584,841148,70198,27102,2022,1022,290258,237,11495,2,5401,669996,1135479,504
,其　他,1,383,0,349,34,0,0,0,0,0,0,0,0,0,0,350,0
,合　計,21562,18117075,771338,200293,10684392,689122,261440,19207,15371,5212423,7011,136956,1383,118138,8098255,15528130,8192
和美鎮,竹營里,2051,1583369,68121,30386,1172239,65473,16997,1830,2130,205987,330,14806,5,5064,906377,1317507,456
,和東里,1497,1261732,60041,39003,811112,62746,28820,3223,610,241917,608,10048,92,3511,636197,1086822,963
,和南里,137,94371,4333,916,66524,7050,958,42,39,13077,102,1125,0,204,53786,81632,4
,和北里,651,501877,15425,15205,349032,20576,7283,403,318,87656,67,2579,0,3334,272411,425256,135
,和西里,1112,873398,31231,22697,631033,51386,14560,2632,616,108915,23,4739,0,5566,497808,740174,399
,四張里,984,669758,27614,4656,511627,23066,11103,119,1318,86510,46,2573,0,1128,387162,545294,232
,頭前里,538,382189,16017,2672,272317,10255,2171,56,181,75172,0,2714,0,636,200040,309912,27
,還社里,272,164782,5968,2428,122435,4225,5405,1040,56,21732,0,1113,0,381,89294,131641,0
,鎮平里,929,617419,29275,9105,447785,21623,9169,305,640,93285,140,6002,0,88,333462,503096,162
,大霞里,431,289018,20201,1363,209096,7814,2653,462,94,45573,0,1701,0,62,157469,237392,17
,源埤里,528,351808,30282,2871,238168,13923,6562,350,256,56490,539,2216,0,151,175643,289283,155
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,南佃里,662,406719,35699,1965,277964,13898,10367,622,180,63932,0,1680,0,412,194155,322910,26
,雅溝里,450,293618,14600,3867,195663,11466,8135,481,94,57364,0,1520,0,428,141605,239560,7
,面前里,671,470513,27873,3287,346199,12755,5020,654,199,69867,10,4561,0,89,263107,387421,92
,山犁里,1755,1339996,65311,24533,983369,52139,13856,1629,1095,185666,801,10631,0,966,761481,1118108,244
,嘉犁里,621,506876,31229,3614,286659,19207,11354,641,189,151772,96,1499,0,615,212290,432507,212
,鐵山里,987,835982,32659,6246,520967,31249,14382,655,322,223898,880,4583,0,141,402192,717481,111
,詔安里,671,452439,17606,3661,334778,16676,6819,358,292,68735,0,3401,0,111,252429,370404,43
,柑井里,1120,778098,34151,8781,566906,26785,8475,255,480,126048,96,4720,0,1401,427028,638220,192
,竹園里,304,188023,14361,1139,143707,4460,2353,330,131,20626,21,864,0,31,104988,149303,3
,新庄里,802,539055,21498,5687,404749,16962,6790,570,376,78163,46,3981,0,231,306008,440314,346
,犁盛里,777,562931,27123,4884,409923,21428,10461,679,427,81706,0,4943,419,940,314418,467435,991
,中寮里,314,194003,17493,2431,138771,8244,1344,139,100,23741,0,825,0,915,100907,156139,22
,中圍里,935,598540,31129,5621,469657,22104,7445,1394,484,55389,0,4720,0,598,352787,481671,13
,糖友里,1466,1120599,40282,19959,903395,37561,6064,2237,1194,96852,1911,9979,64,1099,703141,920345,814
,塗厝里,575,366235,18240,1526,270542,15680,8287,334,164,50123,0,1100,0,237,199453,295145,84
,地潭里,263,171099,5847,747,140227,6462,778,10,84,15993,0,893,0,59,103729,134601,6
,湖內里,391,249336,10387,1828,192544,9340,2111,56,226,30513,0,1416,0,915,141679,198471,15
,嘉寶里,608,396553,27764,2071,254023,13519,9072,860,503,86297,0,1541,0,905,182259,324790,2
,月眉里,1048,627014,21404,5635,497902,17456,5461,345,398,71741,0,5980,368,323,365732,494844,928
,好修里,538,313715,11685,2900,240868,13336,4088,46,382,35985,0,3464,0,961,179051,251898,67
,仁愛里,868,621692,24281,9781,458083,25835,9419,633,525,87183,131,3947,369,1505,345118,508727,1265
,其　他,1,155,0,0,108,6,41,0,0,0,0,0,0,0,0,47,0
,合　計,24957,17822913,839131,251462,12868372,684707,257805,23391,14101,2717911,5847,125864,1318,33006,9763206,14718349,8033
北斗鎮,光復里,484,394095,8097,8393,304028,28071,3507,306,201,32839,314,2550,0,5789,245683,335750,92
,新政里,277,217487,9918,24897,131253,21547,8216,454,65,16674,27,3241,0,1196,105405,191983,52
,重慶里,146,106374,436,4041,80755,10146,560,74,146,9374,0,544,0,298,66197,91816,29
,五權里,181,130028,20122,2964,83633,9709,2152,44,67,9749,0,761,0,827,66961,113355,458
,七星里,377,254076,7444,6233,199391,14969,2364,433,279,19335,0,2886,0,742,156309,210994,136
,居仁里,390,298059,13011,9120,199643,29081,8248,69,250,35287,35,1254,223,1837,158404,256819,772
,東光里,565,390656,13671,7506,319154,20194,3489,719,263,22676,6,2519,77,381,250844,322346,299
,中和里,299,199999,6586,1907,152517,8013,2140,0,185,24278,0,893,0,3479,115668,163150,1
,文昌里,802,589241,9477,7739,464562,29313,7405,596,534,63977,193,3518,0,1927,369466,494144,102
,西德里,1326,1013926,23877,16651,808119,62038,8886,1744,823,80697,793,8317,0,1980,651440,857634,464
,西安里,440,362655,14142,6897,252237,26948,7670,332,274,47808,1329,2912,0,2106,202456,312875,60
,中寮里,581,417321,17111,6548,319778,22615,6101,1007,331,38089,2546,2406,0,789,253486,351028,82
,大道里,457,345478,10363,3910,257498,20634,2281,899,175,44655,22,3749,0,1292,204971,292951,399
,新生里,444,271452,11094,8235,215115,11272,1338,24,296,21459,0,2612,0,7,161103,217440,182
,大新里,443,303501,11554,2886,236875,9874,3412,765,231,36042,31,1726,0,105,180489,246687,32
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
