"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,介壽里,334,249336,3093,1779,192492,10959,10599,892,340,23693,815,3101,0,1571,152015,208919,291
,三安里,829,606161,12220,11860,470817,27818,24847,2458,693,49057,1,3446,0,2945,378519,513864,748
,文化里,713,609380,2640,9161,398510,27490,43348,1885,436,113274,362,4704,288,7282,319681,530545,1334
,正義里,561,681115,7806,10657,323358,25113,41167,2078,406,265351,464,2747,193,1776,259736,617494,549
,中正里,397,317386,8032,1644,239385,14661,17009,888,309,32547,18,2754,0,140,191575,269576,44
,仁義里,303,221926,4609,4267,177113,10960,2685,1550,172,17089,178,2653,0,651,141185,185998,52
,長江里,574,489676,5443,5877,381444,22071,5852,3415,532,51968,0,4427,115,8533,309520,417718,462
,錦江里,628,418096,7176,4275,349268,11699,3883,840,311,37540,0,2466,388,249,272596,341424,1332
,龍門里,520,1060669,6224,3415,292230,16291,8344,2006,372,728036,0,2254,51,1446,234097,1002535,570
,大安里,427,288735,3595,2298,232316,12764,2366,609,179,32792,0,1417,24,375,181198,237593,436
,光正里,870,985357,10495,18268,774876,43807,15929,13949,1060,91947,316,8902,535,5272,667485,877882,2184
,重新里,448,329519,9557,3325,252241,13802,14471,1429,299,29865,200,2776,0,1554,201798,279076,125
,民生里,1172,780170,15978,10925,632574,32266,9892,1777,847,66883,0,8483,0,547,491544,639140,220
,中山里,837,701659,6322,16613,496647,32927,17217,2777,723,115165,6,7028,0,6236,401908,606789,589
,國隆里,773,625111,9106,5885,492339,22705,6801,1375,1547,72393,0,5587,0,7375,398900,531673,205
,重陽里,1034,876777,8186,9175,627705,37636,10636,4413,851,170603,1725,5036,0,812,499001,748574,486
,幸福里,1296,1109670,12123,14797,709374,45955,47968,1991,778,267733,0,6329,524,2099,560063,960355,1928
,福安里,882,688193,10917,9102,547032,29675,13008,2657,804,67862,0,6471,0,665,440860,582021,112
,信安里,628,474288,4252,7297,404390,15884,9154,366,583,26831,53,2627,583,2266,326181,396078,1240
,安慶里,545,346294,4492,5701,283724,16582,6367,1083,438,25486,0,2088,0,333,222599,285169,162
,順德里,564,364771,9022,7062,298923,13871,5157,925,373,25354,7,1896,0,2180,233199,299047,182
,承德里,482,361769,5561,3185,293135,11753,7190,1309,490,32524,0,3699,0,2924,236608,305243,544
,瑞德里,573,382202,10773,6273,301991,17157,5624,434,416,35168,73,2061,0,2233,235054,315265,390
,崇德里,999,690422,6963,9577,585522,25073,6054,1306,636,47222,331,7222,183,335,462208,566078,932
,尚德里,885,620788,11412,6216,517602,26114,12568,1607,560,38439,437,4387,0,1445,411733,514918,223
,培德里,1069,979869,13882,18632,675205,38136,22177,1567,692,193427,784,11483,14,3871,548887,853552,783
,自強里,525,362357,5408,6706,281431,13405,10304,2374,224,35319,0,3606,23,3557,219941,300867,374
,大有里,1783,1315981,26004,10738,994418,61755,41483,3207,1883,163405,5,10685,136,2261,779783,1101345,1076
,頂崁里,790,701342,20726,4458,369932,31322,51390,4821,344,213176,1,2710,0,2460,276289,607699,66
,谷王里,294,243704,3647,2711,159955,11795,12734,475,219,48882,164,3000,0,123,123777,207527,119
,中興里,1295,1047620,16507,21530,678526,51908,40420,3568,1005,221488,2968,6017,0,3683,522871,891883,446
,成功里,1908,1843804,21225,23460,1480617,72641,26541,5953,1809,175010,67,19791,439,16250,1230752,1593939,3042
,重明里,1040,1241009,15973,15015,806199,53092,27927,3571,1463,285593,5771,9138,0,17269,674854,1109664,1051
,光田里,1411,1209236,10919,31499,954168,59192,21017,5026,1582,105555,2337,10210,420,7312,782758,1037706,2243
,田心里,1167,860435,21929,10136,675966,36113,18629,720,1405,80952,31,13830,52,671,536396,721051,548
,福隆里,1355,1070725,29858,11482,835591,45243,37314,3272,1170,95021,545,8829,137,2262,667405,902844,1536
,五常里,1189,806041,16337,13947,663162,28935,13182,1305,578,60213,0,6022,894,1465,516390,659349,1825
