"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,立德里,365,288014,5158,11813,202658,21092,7336,2608,377,25326,1192,4274,0,6180,164527,249883,296
,達德里,504,583390,7113,22380,311915,36781,18469,518,380,176206,771,3009,205,5643,259243,530718,791
,灣華里,817,667052,9601,17353,513070,29370,9060,862,622,74648,1105,7130,137,4093,417014,570961,898
,灣中里,1609,1314395,21922,39985,1051300,55232,21882,6301,1968,94155,524,15964,567,4595,856729,1119825,2138
,灣復里,1026,772112,28065,23875,611707,24725,7273,7754,1555,58382,241,7504,65,966,491536,651940,822
,灣興里,601,666966,14318,22150,419177,26968,31351,3407,561,134645,0,12667,0,1723,350365,598154,913
,寶珠里,1676,1357378,34848,35857,1046539,60667,17853,4218,1045,130394,957,20808,393,3798,848504,1158669,1805
,民享里,701,632905,13221,14036,409580,44916,18052,1292,643,120834,912,7152,167,2101,339061,562324,1165
,安宜里,974,846487,16590,16880,599053,50715,18723,2502,874,120934,393,14225,0,5597,488293,735722,653
,同德里,928,859477,15508,32096,610408,61446,18765,6345,968,97258,1412,10766,103,4401,508528,757597,1267
,精華里,490,474797,6315,16159,313572,33728,18826,2353,341,67248,379,6637,339,8900,262598,423823,731
,長明里,324,288417,7260,3199,192894,17535,5747,656,267,27018,0,32782,0,1059,160834,256356,79
,裕民里,389,361912,9846,9256,282609,14835,3268,437,285,35613,201,4374,65,1123,231661,310964,377
,寶龍里,1239,1783509,34195,36474,920053,64627,27986,4430,1131,676730,1524,12739,199,3421,778839,1642277,1966
,港新里,512,489215,10070,21402,297036,34710,19860,1956,574,96685,1997,4125,0,801,247489,439668,447
,博惠里,1315,1157839,44851,21997,832906,78748,19019,2357,951,143889,346,10525,0,2249,688319,1013252,1144
,立業里,259,181658,4637,1848,140433,10787,4419,501,215,16809,0,1212,0,797,113640,154865,85
,十美里,602,509871,16608,11980,348944,36392,17111,627,361,72296,211,3939,256,1145,283758,444646,967
,德行里,368,348893,9200,5763,235270,23336,10345,905,171,59980,0,2887,0,1035,196769,310391,279
,安邦里,1187,1039333,21574,20023,791014,63233,18147,3958,999,106534,708,12139,0,1003,658730,906638,1226
,千秋里,536,325544,4965,4995,279509,16143,989,131,231,15235,790,2355,85,118,219415,265452,407
,灣勝里,546,390707,6024,13393,295233,23903,5531,2785,592,32716,794,5256,556,3924,236079,331553,1440
,灣利里,972,688397,11548,12731,553521,39321,6687,2040,408,50598,658,5966,0,4921,443924,578800,90
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,達明里,534,496914,12497,23234,319390,33990,22185,974,296,76836,476,3623,286,3127,265305,442829,734
,達勇里,324,321428,7589,7384,220785,18274,5089,566,188,55672,348,2294,82,3157,184444,285702,396
,達仁里,521,503071,8365,12372,329702,36368,28994,1696,515,76172,385,4150,0,4352,274907,448281,406
,灣愛里,756,531846,15921,7255,427190,28206,8943,1311,1710,36360,0,4360,320,271,335311,439966,869
,安和里,793,811402,23332,37567,507985,49059,17484,1310,371,163469,152,8170,9,2493,421918,725496,1003
,德智里,756,691232,9920,22594,504869,46654,19265,1848,275,75764,643,6969,0,2431,423134,609498,515
,寶興里,2098,1881513,22266,56064,1358937,91447,32082,5320,1914,285452,3008,16123,39,8862,1113827,1636500,1598
,安康里,605,506229,7112,8359,311654,12734,1207,743,341,158653,953,3051,126,1297,244042,438491,571
,安寧里,369,236426,6832,5517,196472,5671,2502,357,185,15238,0,3511,51,90,154556,194495,374
,鼎盛里,2263,1894965,31503,36097,1527531,83339,17872,5714,1479,168643,2268,17394,587,2536,1244134,1611574,2208
,鼎泰里,7001,7934850,98297,249356,6139048,347840,104417,24974,7059,808719,11740,80802,716,61883,5237007,7032884,11403
,本武里,491,433066,9725,10279,329345,24850,6841,293,233,45742,2051,3057,100,551,269887,373609,977
,本文里,628,478542,10070,8521,373483,28167,13317,1641,595,37078,22,5413,0,237,302922,407981,256
,寶盛里,1692,1561444,29922,43907,1214521,82593,14771,4426,913,151731,2271,13557,0,2832,1014036,1360965,1124
,寶華里,1111,1063351,17003,27693,800778,61663,18681,3735,1028,118390,933,9857,0,3590,669093,931694,877
,寶民里,1060,993143,19324,16839,775714,49646,11456,2351,670,105650,651,8771,0,2073,646793,864222,949
,寶中里,935,737161,20497,17868,573283,30334,13008,1563,1279,62881,566,5806,0,10077,463666,627548,488
,寶玉里,2590,2200456,41054,44259,1783717,96913,18767,6009,2052,175811,5263,21013,0,5599,1465250,1881989,1338
,灣成里,616,502680,8389,18908,385703,25878,8585,1887,256,44884,277,5185,1521,1208,313462,430334,3003
,安吉里,1480,1303142,30116,27080,1016049,60412,21290,4640,1777,122692,110,11922,210,6843,846359,1131730,1835
,安泰里,1261,1133499,15912,27719,838140,67390,18286,3418,809,137061,9139,14248,55,1322,695441,990808,1263
,德仁里,661,707359,4644,25895,444179,34160,17756,4286,315,170296,704,3184,0,1940,371887,635067,653
,寶國里,2485,2359304,42732,75304,1838306,94820,36642,9798,2278,224105,5469,25957,228,3664,1526536,2047533,2656
,正順里,1267,1150853,11451,26043,897976,54058,20468,8386,536,118390,2988,8775,0,1783,748298,1001175,1501
,安發里,1531,1400180,25029,36391,1001884,81230,29976,4276,999,199128,1778,10830,18,8643,830824,1229120,1119
,鼎中里,1094,892640,19767,9811,693969,42989,16522,3651,1128,94853,16,8483,0,1451,567424,766095,582
,寶業里,1717,1652129,19154,36716,1251640,88111,25018,15081,1014,192786,4863,14419,127,3200,1050037,1450886,1937
,寶慶里,891,723732,13060,14446,579084,30537,9748,1646,247,68168,429,5507,0,861,477241,621890,504
,寶德里,1589,1287843,31950,23160,1003910,60480,17210,4534,1797,129054,1253,13044,12,1439,813152,1097085,1298
,寶泰里,1248,1109228,26161,41176,797491,45604,29141,9613,1179,136879,1455,10035,0,10493,651964,963598,848
,寶安里,2282,2200947,38680,90423,1574433,105043,38539,6533,1430,300943,3908,24692,596,15726,1308417,1934758,3653
,本元里,1704,1550607,28220,25370,1230087,69022,17617,3724,1058,150755,898,22818,145,893,1018117,1338633,1782
,本安里,1569,1614491,29691,37661,1223274,78306,27293,7048,882,181418,3781,16531,389,8216,1028554,1419753,2631
,本上里,1648,1897925,20155,43425,1427805,103697,24570,5820,1637,236956,6873,17281,842,8864,1229241,1699015,3897
,本揚里,2530,2559440,44291,51142,1933354,130691,53542,9111,1571,298042,6047,22675,0,8974,1628752,2254838,1949
,鼎力里,1147,959247,13716,16069,746943,44194,20342,2465,871,100258,894,9292,0,4204,608644,820948,384
,鼎強里,1217,920843,27264,10708,743602,39412,8368,4379,588,76277,13,8883,0,1349,594619,771859,574
,本和里,2473,2310418,48599,45904,1802561,98888,21468,11134,2089,245768,3626,25973,0,4409,1496246,2004106,1829
,其　他,8,2292,0,8,1292,159,109,6,20,685,0,13,0,0,878,1878,0
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
