"表166-J(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
峨眉鄉,峨眉村,252,197521,1417,1881,166666,9987,800,301,207,14554,22,1662,0,24,133729,164583,89
"表166-J(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,富興村,337,248588,3829,1131,213385,11135,2437,33,234,14310,0,2008,0,85,169007,205350,24
,中盛村,199,147058,1901,1658,130188,5636,1071,442,179,4742,0,1112,0,128,102824,119693,0
,石井村,158,110597,1740,449,92993,5054,1345,297,166,7586,0,964,2,0,73262,91075,207
,七星村,125,99184,598,1861,76105,4794,2753,141,88,12423,0,387,0,34,60753,83832,15
,湖光村,222,138203,3934,523,115003,6800,772,119,137,8872,0,1783,0,260,88574,111773,59
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1293,941150,13419,7503,794340,43406,9179,1333,1011,62488,22,7916,2,532,628148,776308,394
尖石鄉,新樂村,208,139818,2225,2471,124567,1054,2146,108,170,5959,8,1103,0,6,96903,112154,216
,嘉樂村,186,140229,943,1281,121434,3988,2359,415,61,8440,17,734,0,558,96937,115732,48
,義興村,117,85871,1189,4701,71543,3333,352,111,66,3541,24,1011,0,1,55871,70199,0
,梅花村,75,44503,160,541,42344,486,14,48,10,212,0,345,0,342,32288,34447,20
,錦屏村,178,109458,3988,1826,93553,3080,1610,54,67,1496,0,819,0,2965,71754,87659,90
,玉峰村,165,93211,1161,1014,89007,847,557,40,101,121,0,331,0,33,66622,70826,17
,秀巒村,171,121615,5218,144,110199,715,277,31,127,347,0,4541,0,16,85352,96768,42
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1100,734706,14883,11979,652648,13502,7314,807,603,20116,48,8884,0,3922,505727,587786,432
五峰鄉,大隘村,250,153514,2341,2146,142658,3094,1016,99,184,925,19,987,0,44,108897,119752,59
,桃山村,224,152779,5959,1873,132386,4524,4410,109,78,1894,0,1373,0,173,102300,121839,104
,花園村,115,61937,444,333,58738,892,317,75,40,443,0,652,0,3,43191,46389,0
,竹林村,58,40028,73,286,37189,581,97,38,33,189,255,258,0,1030,28794,31633,2
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,647,408257,8817,4638,370971,9091,5841,321,335,3451,273,3270,0,1250,283182,319613,165
其　他,其　他,29,42264,71,162,33788,1769,238,383,34,2004,0,3786,18,11,29968,38443,229
,合　計,29,42264,71,162,33788,1769,238,383,34,2004,0,3786,18,11,29968,38443,229
