"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,光民里,167,115214,1210,7610,90903,8244,868,1057,40,3596,0,1286,186,215,72437,96584,650
,東華里,111,82560,3969,5420,53935,5174,3563,210,47,6835,0,1665,0,1741,43436,72061,6
,南安里,227,194032,5459,3874,136489,11393,2962,363,288,30310,0,1248,0,1647,111581,169125,50
,中和里,96,84034,1281,4761,50260,7222,1672,141,26,18306,0,178,0,188,40138,73912,13
,義民里,113,79397,1712,1546,63380,4207,1507,147,53,6078,0,748,0,20,52062,68079,4
,共榮里,119,91949,2181,1911,59117,5662,3284,148,156,18558,0,238,0,694,48621,81453,267
,西勢里,258,193376,2725,6695,139097,9794,2184,386,139,31152,0,955,0,249,111262,165541,23
,仁和里,152,137080,3949,20834,77950,11717,1269,26,575,20049,27,684,0,0,63612,122742,16
,賜福里,93,64530,911,95,48090,2900,1304,13,47,10754,0,415,0,0,37619,54059,0
,公館里,145,95654,1174,2601,77329,6075,4251,35,50,3007,26,815,0,292,62117,80442,155
,大同里,333,252134,7645,12184,190228,18492,4313,128,290,16091,0,1883,0,879,154698,216603,54
,仁安里,127,102652,2795,1691,73500,6782,2754,8,102,10284,0,1156,0,3581,62014,91166,10
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,華勝里,1465,1143397,28815,43796,824108,103021,17068,751,541,107298,3289,10918,217,3575,673771,992994,1139
,光復里,500,406066,8150,9863,318872,23646,2970,259,200,36516,318,3361,0,1909,261181,348375,119
,新街里,1872,1536712,33554,23882,1232482,107433,11560,1624,1201,106303,1661,12355,58,4600,1012108,1316307,814
,劉厝里,296,198567,4682,2563,159666,5392,4316,10,155,20102,0,1641,0,39,126033,164934,0
,後溝里,185,130478,2061,4225,108530,3692,146,281,104,9498,0,690,0,1250,86358,108306,6
,新厝里,88,48308,1247,158,41159,2556,45,0,40,2558,0,545,0,1,30959,38109,8
,府番里,161,115039,1588,27,83057,4887,609,329,36,23739,73,693,0,0,64276,96258,32
,草湖里,236,155537,5535,975,128688,5274,779,668,140,12136,0,1128,0,212,101795,128644,148
,溝皂里,188,125870,3505,1629,104843,4761,567,412,84,9003,0,804,0,262,82423,103450,11
,番溝里,125,76615,1120,1060,65438,3880,1427,77,21,2992,0,601,0,0,49315,60492,15
,大北里,96,55745,2071,2170,46586,1180,124,23,56,2889,0,560,0,87,36601,45760,0
,好收里,312,199599,9655,2536,156080,11017,1818,156,235,13354,70,3614,0,1064,121588,165107,197
,樹腳里,763,571560,14323,12158,465645,34260,2776,1064,533,32913,1212,5606,0,1068,376864,482778,125
,扶朝里,170,98828,2507,2927,83326,3777,1371,32,112,3326,0,1171,0,280,63947,79449,59
,水埔里,90,67373,1545,1615,58071,1991,413,878,40,2295,130,393,0,3,47148,56449,33
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
