"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,慶豐村,2089,1758454,56283,32865,1441121,80221,16707,6377,1533,110224,1879,8663,0,2580,1176435,1494150,1592
,吉安村,1599,1352364,46067,27986,1118449,75416,11665,1879,1177,62040,512,6424,125,625,917147,1151003,2215
,福興村,735,594683,21980,10856,504911,21399,7372,770,520,21791,1008,3712,0,363,411957,501729,294
,稻香村,945,781712,25384,13221,662619,36628,5948,3367,882,28850,510,4002,0,300,542898,661991,620
,永興村,675,439396,22620,4674,376685,12762,2926,849,546,15099,135,2789,0,310,293830,356542,160
,南華村,342,257492,5931,4689,199201,9828,2036,294,185,32453,5,2549,0,322,159493,217784,220
,干城村,290,213439,5289,8662,179147,10246,1240,886,213,5553,6,2038,0,160,144648,178940,128
,光華村,510,397636,20533,6633,310786,14620,2345,2139,538,36465,67,3426,15,69,246800,333650,973
,仁和村,1199,798024,29981,10482,671037,27804,4561,1364,629,45551,508,5436,95,576,525046,651963,984
,仁安村,600,389668,28001,6852,288130,9231,10365,424,542,43619,0,2000,69,433,219421,320959,398
,永安村,1297,1082131,39242,28034,887122,54867,11426,4933,1001,46542,358,7174,70,1362,730212,925221,1086
,勝安村,1601,1330135,60295,27778,1044703,67850,19548,3353,1664,91830,689,10616,359,1449,855759,1141074,1819
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,20965,16178670,582217,385462,13179493,762813,170209,43079,14750,891466,10598,115181,1051,22351,10641444,13640737,16481
壽豐鄉,池南村,166,103387,1768,698,90722,2191,1453,114,51,5765,0,397,0,228,70682,83347,172
,志學村,599,444565,17685,5403,372919,21162,6718,5007,381,10361,1,3705,620,603,301790,373434,2755
,光榮村,164,102702,1646,1141,93939,3165,89,32,72,689,0,1074,0,856,73572,82334,177
,平和村,282,209950,14672,6463,160245,8129,2271,930,116,15601,14,966,0,541,127372,177077,449
,壽豐村,378,261905,10906,7266,217265,11546,2645,284,229,8442,604,2413,0,305,172847,217487,102
,共和村,126,95815,2427,4143,65469,2758,7752,59,26,11960,282,297,630,12,49699,80045,1102
,豐山村,453,291681,20532,2862,238523,10761,2425,324,190,14408,0,1505,0,150,185864,239021,55
"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,豐裡村,319,200087,3050,2472,170811,9763,885,620,202,10809,0,1064,83,328,133287,162539,372
,豐坪村,176,121583,7255,342,95737,3606,1143,195,461,11324,0,1446,0,73,75151,100996,133
,溪口村,198,121197,2239,3203,102989,4593,988,178,39,6353,0,559,3,53,78988,97195,219
,月眉村,181,93972,4256,968,84398,1205,832,150,166,1062,0,934,0,1,63155,72728,29
,米棧村,42,20291,494,3,15911,1190,144,0,12,2507,0,19,0,12,11113,15494,17
,水璉村,106,67146,283,872,56148,1908,1162,3520,88,1985,0,1180,0,0,43407,54405,7
,鹽寮村,85,58002,5632,7044,30036,5690,2234,89,136,6732,0,303,0,106,22163,50130,66
,樹湖村,72,44934,2737,239,38099,1480,771,71,30,1165,0,283,0,59,29910,36745,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3347,2237216,95582,43120,1833212,89146,31512,11572,2202,109163,900,16146,1336,3325,1439001,1842979,5654
鳳林鎮,鳳仁里,325,229465,7041,7261,186922,13740,2591,1035,155,6972,0,3154,428,165,150065,192608,935
,鳳義里,151,127901,3421,2695,95446,8536,8950,171,160,3384,0,2435,2422,281,77872,110327,3641
,鳳禮里,174,137975,2809,4603,98195,11402,514,35,196,19634,111,398,0,79,79188,118969,85
,鳳智里,312,234221,3892,3839,195924,17561,1313,345,674,8188,86,2106,0,294,158350,196647,79
,鳳信里,304,201726,5543,5241,177170,8623,500,296,140,3298,23,866,0,26,138622,163177,222
,林榮里,193,127189,2330,3624,98468,6761,3159,678,448,10842,0,809,0,71,75901,104623,36
,南平里,101,91928,981,19558,60732,2937,916,671,347,5105,0,380,0,301,48593,79789,1
,北林里,119,79652,7919,683,65769,2384,199,286,89,1707,0,616,0,0,51310,65194,0
,大榮里,240,150612,4458,6519,124502,6747,2508,360,216,4321,36,854,0,91,98329,124440,23
,山興里,72,40687,1539,143,35872,389,60,13,12,2238,0,253,0,169,26527,31612,0
,長橋里,208,137109,2641,536,121239,4440,734,44,129,6549,0,797,0,0,96763,112633,2
,森榮里,25,16568,327,225,15796,133,0,0,32,26,0,29,0,0,12953,13725,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2224,1575033,42901,54927,1276033,83654,21444,3933,2599,72262,256,12696,2851,1477,1014472,1313742,5023
豐濱鄉,豐濱村,311,179119,7831,2720,158933,2164,1115,414,218,5122,0,527,0,75,121511,141697,23
,港口村,100,106530,4292,209,44767,845,1053,12,732,53208,0,1323,91,0,32854,94618,339
,靜浦村,82,39886,909,1412,35113,628,488,0,16,728,0,592,0,0,25622,30399,4
,新社村,84,45141,483,2055,40477,764,525,6,64,85,0,331,0,351,31107,35771,3
,磯崎村,59,32282,193,523,27891,2071,165,0,21,757,0,661,0,0,20800,25192,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,636,402959,13708,6919,307181,6472,3346,431,1051,59900,0,3434,91,426,231895,327677,368
瑞穗鄉,瑞穗村,469,325204,20872,10220,241524,16877,4937,607,209,20858,68,1872,0,7159,192965,276646,40
,瑞良村,113,65773,2070,1339,54884,1286,1608,47,43,4147,0,351,0,0,41885,52774,25
,瑞美村,415,277535,9638,10226,226523,16211,1831,330,299,10443,10,1562,270,193,180475,231487,835
,瑞祥村,183,135438,6215,729,95866,3661,1978,218,114,25118,19,1453,0,65,75093,114665,13
,瑞北村,96,60111,508,158,48432,1735,664,2051,70,6265,0,228,0,0,37663,49342,2
,奇美村,61,30506,2469,80,26438,516,535,0,18,195,0,256,0,0,19085,23154,34
,富源村,135,74234,3171,662,63577,3614,155,0,44,2399,0,425,0,187,48249,58907,135
,富興村,85,49814,1015,11,43306,490,811,2,49,3844,0,286,0,1,33145,39653,11
