"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,中華里,1046,875028,9902,24700,716546,29371,12310,1342,1433,68121,23,9235,0,2044,578314,737261,245
,中英里,520,362898,7128,4035,312792,7961,3094,524,392,20616,0,5663,0,691,243379,293485,6
,中美里,727,513184,12102,2408,442800,13111,2432,1754,407,28733,119,9019,0,300,345114,415498,263
,開元里,338,261088,7514,1242,231474,5546,1179,647,255,10270,0,2395,0,565,183809,213423,7
,海口里,1259,1113713,28868,6170,919124,29532,9122,904,1402,90908,0,20962,0,6720,742412,937001,434
,港墘里,709,566339,14526,5550,489197,13002,2568,680,484,30766,1360,7670,0,534,391049,468190,160
,公館里,392,273624,7057,2922,232538,8715,1226,326,173,18389,0,2266,0,11,180040,221126,61
,大埔里,1100,789049,28683,4685,638047,24451,10784,952,933,70946,1542,7526,0,500,495353,646136,73
,崎頂里,1252,992838,29575,11827,832079,24511,8529,2699,949,69623,31,13046,0,-30,659414,820173,93
,頂埔里,733,518844,14093,3545,440176,13130,12424,794,444,27955,242,4867,0,1174,345400,424153,236
,公義里,354,262577,21963,1043,198724,6895,4779,120,147,25643,0,3120,0,142,152484,216337,66
,照南里,1246,1393342,32681,24891,1029460,69741,32739,1612,1086,160130,89,35358,0,5557,875038,1238875,262
,佳興里,1194,1119363,12131,6957,938377,44731,10409,1152,1172,88903,0,14757,0,774,774099,955792,549
,天文里,789,714406,13658,10212,600007,14526,5144,1688,759,57956,17,10032,0,409,488443,603178,101
,龍山里,790,689612,9355,5385,584194,18012,5537,883,896,58561,0,5702,0,1088,472176,577595,78
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,24252,21279541,439642,256924,17203535,713501,243831,37421,26652,2004543,7116,299875,532,45971,13958722,18035974,7665
頭份市,頭份里,1150,914771,18097,18777,739401,42262,17377,1018,701,64676,0,12173,0,291,588586,763685,314
,忠孝里,1196,1136214,12856,28705,886595,53550,8477,1611,940,123596,40,17740,0,2105,731187,981388,411
,仁愛里,522,343779,5182,11793,269393,14892,3284,1295,365,30447,0,5153,0,1975,210008,284395,49
,信義里,267,269097,4565,6836,157893,11337,7145,178,155,77553,0,2838,0,596,128419,239235,257
,和平里,349,296728,11852,10880,204401,20188,8521,483,359,34809,0,2311,21,2904,169207,261534,335
,民族里,708,536080,9391,15774,427615,21072,13854,896,643,37989,414,6781,164,1486,339666,448624,986
,土牛里,266,167893,1946,2298,139695,8868,1822,113,145,10319,0,2234,252,201,107794,136475,568
,上興里,668,469072,9082,5668,411465,11472,1410,1380,608,21480,0,4692,0,1814,319926,378264,96
,下興里,837,635748,18753,11385,532560,23360,2282,1272,613,35305,128,8309,0,1781,420180,523368,214
,東庄里,1107,1012996,22364,16985,797439,43407,16890,1149,1289,92858,78,14044,0,6493,649921,865695,154
,田寮里,1419,1159126,21182,10954,974159,38390,9605,1202,1151,78952,567,18688,77,4199,782186,967640,558
,蟠桃里,2175,2183194,29308,24319,1898715,54558,17826,3480,2383,112349,612,37237,141,2266,1583197,1862956,1572
,山下里,1391,1301590,21217,9538,1094463,49831,11713,2785,2477,83192,560,23585,0,2227,898984,1106505,189
,後庄里,1483,1563863,27478,16352,1350162,39241,12748,2400,1608,78436,750,26578,92,8017,1136649,1350258,1193
,新華里,1226,864255,13068,9810,747839,31141,3693,3326,1025,44677,0,8547,0,1128,584041,700918,327
,斗煥里,1057,753826,11858,7078,655570,22680,2397,3380,808,39727,423,8501,26,1377,510246,609034,453
,興隆里,1464,1369771,16858,12147,1170613,33416,7080,2678,1238,94561,221,24659,0,6298,965462,1164620,378
,上埔里,858,623040,8494,9262,543524,23114,2138,121,578,26791,0,7597,0,1422,429322,509690,231
,珊湖里,550,368228,8401,3445,301584,11629,1994,603,888,36220,0,3037,0,425,233194,300150,46
,流東里,680,461039,13812,4067,385397,14267,1901,571,586,34545,0,3841,0,2053,295795,371800,39
,尖山里,486,339967,7583,4839,284979,11347,2505,116,453,24703,5,3324,0,113,219981,274970,12
,廣興里,291,209203,4120,1523,175603,6862,1246,312,165,17266,0,1667,0,439,138121,171721,68
"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,尖下里,901,630805,21593,4653,535060,19228,3777,510,711,37547,239,6554,0,933,413899,509644,23
,濫坑里,735,486289,20353,3409,420972,13083,2826,231,492,18580,1622,4199,0,523,318225,383542,21
,蘆竹里,467,291415,6822,5174,237059,14196,3610,143,344,20456,267,2959,76,308,179196,233551,296
,民權里,700,573222,12000,7091,429382,29448,10165,410,536,74240,0,7212,0,2738,342432,486553,97
,民生里,816,573274,11312,5618,495944,21835,3786,166,547,26458,64,5681,0,1863,386243,463574,74
