"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,秀林里,116,69785,2597,891,55139,5293,1017,381,11,3277,0,953,9,217,43244,57881,193
,延祥里,881,551587,16188,8538,459915,24118,4572,370,356,27618,625,2841,138,6307,359495,451041,639
,竹圍里,590,412414,6814,8110,326011,31402,3546,229,190,28806,359,4000,0,2948,258184,344586,67
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,10604,7329461,211352,157640,5816240,414606,80297,10012,6099,527326,4684,60733,1266,39207,4623864,6137211,7250
集集鎮,集集里,274,206696,7108,2440,166371,9483,1901,176,460,17726,6,937,0,87,134281,174605,170
,和平里,230,168182,4048,4448,129710,9055,2532,209,80,16473,0,1489,0,139,102497,140970,22
,林尾里,113,100940,5688,923,77924,6466,2441,0,41,6454,0,990,0,13,64055,87071,0
,田寮里,318,232426,4489,520,206049,6120,1228,95,67,12840,78,758,0,182,164409,190786,132
,隘寮里,113,72708,1046,675,59232,4559,544,21,33,6249,127,207,0,14,45750,59226,0
,玉映里,120,79944,1533,1382,65103,5414,3631,44,89,2618,0,128,0,3,51637,66478,18
,吳厝里,220,136462,3825,2133,107413,9727,3107,82,54,6717,0,821,0,2583,84076,113125,114
,八張里,340,234206,4421,1196,188125,9557,1913,1129,354,26656,0,696,0,158,148583,194663,220
,永昌里,218,190151,4802,675,152159,7068,1376,854,85,20738,0,1452,0,942,125715,163707,115
,富山里,108,61531,1888,738,49227,1857,816,48,61,6559,0,279,0,57,37575,49878,1
,廣明里,195,143902,2361,550,119991,5886,256,483,84,12331,0,628,0,1332,96067,119978,132
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2249,1627147,41209,15680,1321304,75191,19746,3143,1407,135362,211,8385,0,5509,1054644,1360488,922
名間鄉,南雅村,282,180846,3603,6767,148591,9417,4023,301,93,7174,0,735,0,143,117474,149730,82
,中正村,906,614811,11626,9592,514673,28418,11128,925,533,32857,1,3539,101,1418,406059,506198,721
,中山村,558,371817,10515,7131,279836,15723,4852,699,276,47052,55,3058,0,2621,217466,309448,32
,濁水村,363,243744,5213,1506,206571,11738,1385,156,282,12969,0,2699,0,1223,162802,199986,69
,炭寮村,206,147433,3141,2275,103236,6492,206,107,90,30475,0,879,0,532,80577,124773,206
,新民村,209,120789,4771,955,104018,3892,1261,207,74,4555,0,680,0,376,79783,96934,13
,新街村,1189,758636,14162,11211,644074,28765,4130,484,897,46998,67,6015,0,1832,495704,613149,345
,東湖村,438,285023,7832,3566,239549,12439,4275,1478,471,11776,0,2524,0,1112,183665,229139,22
,仁和村,186,101882,1800,1657,88234,4763,1875,186,16,2697,0,482,0,173,64686,78334,22
,萬丹村,224,142494,4317,2637,108656,6365,1384,85,191,17935,17,488,204,215,81151,114990,472
,田仔村,301,203225,7965,6845,157950,9248,1494,292,138,11981,0,7109,0,204,120633,166697,25
,新光村,423,300420,3533,2677,254045,9982,1437,321,1918,23691,0,2802,0,14,202215,248590,78
,大庄村,387,267170,6934,4594,219057,16984,1179,52,430,15276,478,1280,0,905,171574,219687,171
"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,󿾴下村,160,113015,435,985,96685,4268,530,1,141,8960,0,940,0,69,76576,92906,17
