"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,玉泉里,1080,1214255,12070,16057,752614,65610,77243,4670,904,267707,1137,13904,349,1990,624956,1086583,1869
,光能里,1722,2990088,27320,34556,1160687,73808,115224,7094,1385,1500913,33,19425,1168,48475,957920,2787307,3959
,重慶里,2328,2544854,15226,62341,1858208,129158,45592,7388,2224,392550,758,25780,477,5152,1572180,2258781,3405
,至聖里,2749,3087016,22456,68839,1909175,131176,100822,14329,3024,746133,738,78669,284,11371,1585579,2763087,4280
,老師里,1846,1563330,12348,16733,1232535,72346,33081,8401,2190,162587,1314,14462,0,7333,1005560,1336355,1137
,蓬萊里,1722,2026398,22759,18863,1309468,107688,72382,6753,1591,461407,108,12332,361,12687,1111291,1828222,2163
,民權里,2193,2559599,18205,47158,1730983,124222,89695,14840,1642,493687,1978,28168,332,8689,1460564,2289077,4233
,文昌里,2,846,54,24,508,1,0,0,0,249,0,10,0,0,396,734,0
,延平里,1336,1273249,15620,24628,846099,72658,57528,8536,1067,228096,655,11569,264,6528,700146,1127192,1806
,永樂里,2021,2818940,136366,25860,1286301,142892,203179,14427,1674,981030,361,15586,1167,10097,1070335,2602816,3886
,保安里,1315,1688093,15623,31792,925945,63838,62459,4832,1294,566029,300,11510,826,3644,769617,1532364,2172
,其　他,7,3254,0,132,2299,50,0,593,0,179,0,0,0,0,1584,2538,0
,合　計,41129,45421660,640667,746309,28181430,2144896,2143551,232182,37135,10522821,32443,521290,11388,207548,23385159,40622054,61678
中山區,聚盛里,1382,1303154,15771,57827,929145,56135,43283,12785,1651,167378,277,15159,441,3301,780482,1154364,3576
,大佳里,277,232341,3157,3630,161281,8628,25462,1586,294,23991,0,3725,0,588,128080,199141,210
,恆安里,1706,3165013,26325,66753,1293686,81493,129700,14679,2033,1525540,618,19789,1018,3381,1110800,2982075,4541
,集英里,2357,3710155,58393,43502,1719140,133327,225121,23571,1752,1443226,2798,41589,1107,16630,1443573,3434593,5442
,正守里,1241,1503693,16765,22114,951624,85746,71908,7174,2023,328862,1782,13796,204,1695,812306,1364346,3075
,正義里,1757,1823300,31070,38395,1109914,73178,74812,21010,1297,450293,3751,11808,527,7245,924255,1637331,3788
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,新生里,1657,1546971,27442,26242,1063200,96247,106687,6152,2157,200819,1009,14512,324,2179,881861,1365655,2457
,松江里,2452,4070386,48031,55249,2152448,185874,144009,35497,2581,1380620,2867,31925,2050,29235,1872781,3790324,7801
,江山里,2850,3652300,27850,77881,2231628,193473,175223,9263,2832,878749,2888,37500,973,14041,1912304,3336726,6352
,中山里,2370,2404235,28202,65851,1666073,101717,98578,24198,3830,377853,3757,25569,1618,6988,1413512,2160267,7062
,成功里,2555,9888141,44760,113907,3650366,247978,352113,99284,4386,5207879,36253,105589,2097,23529,3353991,9589409,9515
,下埤里,2847,3373618,29103,91581,2195814,163810,131522,7612,2677,677594,14220,43212,875,15597,1859597,3028685,4686
,中原里,1885,2486448,61824,41317,1402071,115956,130127,16863,2723,682098,2159,26299,971,4041,1190285,2274566,4630
,新庄里,1662,1523487,29574,22482,1088795,76256,50217,19484,1611,168997,5911,16277,449,43433,900689,1335049,2811
,江寧里,2666,3696704,15409,93931,2303614,189104,157402,24968,3049,862593,3376,35404,1985,5869,1997416,3387777,7341
,復華里,1788,2871800,18124,107783,1646699,152678,169226,31961,1363,684867,1921,38606,2015,16558,1455348,2680075,7788
,興亞里,2157,4033001,29910,45988,1670899,159060,228950,33750,1820,1789189,47070,18831,554,6978,1440357,3802332,5563
,朱園里,1825,5112046,125756,46239,1675912,151225,204914,15918,1858,2827939,1333,46310,731,13909,1483955,4918327,4041
,中央里,1342,3326953,30285,20371,1035116,97602,90370,17693,1319,2000987,4962,13005,573,14672,886788,3177501,3333
,新福里,1777,7273676,90715,24532,1200091,90864,97609,5868,1771,5732292,7509,17591,1594,3241,998378,7071954,4781
,中庄里,1776,1907326,21177,40960,1184653,96064,75423,8211,1383,453254,196,14673,608,10724,992409,1715121,4011
,康樂里,963,1249715,9673,25151,667006,47211,62428,10700,1082,392752,8032,21651,327,3702,567913,1150613,2057
