"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,鵬程里,673,483722,3999,9059,388609,38843,3100,2031,590,28117,659,5188,0,3528,309712,404825,187
,逢甲里,1442,1236615,17561,29074,886003,60080,50129,5138,1048,161616,739,13062,928,11237,723437,1074499,3039
,大福里,815,549446,13143,7092,426934,33580,15602,927,514,45358,206,3272,0,2819,337494,460009,431
,大鵬里,1461,1160381,18978,48849,877256,47893,21099,8140,2403,104067,1452,11366,0,18877,703806,986931,1320
,西平里,1567,1479442,16316,41705,1145644,75374,61561,3442,1068,107053,1245,13180,0,12855,958367,1291980,1675
,何仁里,2209,1867118,28947,52274,1409658,93193,44794,5765,1475,195318,2778,13927,0,18988,1150964,1608276,1336
,何德里,1329,1238281,26667,37001,909039,57981,29058,5273,935,139237,516,13272,84,19217,751059,1080301,1236
,何源里,2200,2002751,28365,55243,1423649,107714,46796,5859,1836,310894,2575,13061,562,6198,1169717,1749212,3171
,何南里,1602,1542638,16204,46132,1077317,95113,54377,7974,1090,214576,2364,18730,243,8517,897477,1362556,2021
,至善里,1501,1846016,13344,32642,1174460,69130,33909,5325,1299,481583,948,8940,82,24355,982627,1654184,1765
,上安里,1866,2032490,36152,72300,1492270,80782,37049,8909,2147,252418,3427,36039,225,10771,1251959,1791512,2510
,上德里,1518,1435889,18325,41520,1074248,86424,27429,7135,1378,157585,1517,13159,615,6555,891503,1252390,2528
,逢福里,1807,1785135,41850,37230,1331984,80816,54818,22673,1554,168181,2059,13195,58,30718,1112665,1565291,1704
,何明里,1250,1098865,25728,34782,774654,61571,32220,4053,748,141580,4057,6882,103,12488,633106,957265,1592
,何成里,2546,2627567,38509,75761,1804260,124488,81543,15077,2272,361610,2358,23534,126,98029,1500968,2323247,2910
,何福里,1487,1311757,20154,46989,931479,78654,44604,4023,1332,153274,1791,12936,30,16491,761493,1141891,1346
,福和里,1355,1205451,30880,16020,800479,50012,27674,2734,1341,253341,529,11839,0,10600,634489,1039204,340
,福中里,1151,1264379,23143,16398,755705,48036,22368,5240,724,380979,789,7645,120,3231,607911,1116585,1016
,福恩里,1726,1952648,21949,42580,1485711,66822,20363,6578,1759,288420,1245,11374,0,5847,1249780,1716562,3907
,福聯里,949,1067857,15619,15318,823212,39400,21191,4507,589,134614,469,5688,148,7100,703691,948293,1793
,福瑞里,1000,1134382,12210,16737,977963,36793,6921,3914,550,67434,192,5933,712,5025,843519,999890,4849
,福林里,2619,3982162,57306,86752,2748126,140710,78521,20107,2667,732460,43792,39616,605,31501,2409541,3643428,9931
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,福雅里,1961,2307696,25526,71073,1653875,83715,63469,37153,1548,334436,2416,16074,506,17904,1401818,2055121,4275
,其　他,4,2357,644,125,556,39,115,708,0,6,0,163,0,0,338,2138,0
,合　計,62074,74427889,1251971,1972941,46307697,3036559,1988932,446198,55690,17698849,124400,613257,12262,919134,38776781,66884901,106516
南屯區,南屯里,3005,3337208,48636,115408,2414966,136956,85692,18979,3967,451086,2025,35945,553,22995,2038534,2960814,4542
,豐樂里,3908,5176241,95057,191839,3116596,278166,175314,25527,3797,1180378,3458,37407,872,67829,2638682,4700895,9955
,楓樹里,1733,1620467,36125,33567,1139693,72910,31162,3555,1591,274296,2371,12618,137,12442,918433,1399842,2503
,中和里,1396,1018036,25709,8410,784292,50477,13362,1699,838,118490,1213,8145,0,5401,612194,845938,441
,鎮平里,492,387839,13619,5571,263221,20549,19919,1182,481,54104,5,3051,0,6138,204111,328729,106
,春社里,1785,1425763,30418,18057,1100215,53929,30592,5376,1348,151338,1115,14561,69,18744,877400,1202861,877
,文山里,3058,2734146,50716,40947,2182295,75818,42003,11166,2248,278002,552,33880,3,16516,1761633,2313486,2049
,新生里,277,217996,9959,4193,144326,11926,15712,1305,70,28365,0,954,0,1188,113948,187618,115
,永定里,1540,1468082,31564,26748,1082420,59292,38577,4854,2603,201917,270,11814,0,8023,891020,1276682,988
,三厝里,2272,3042601,47298,106104,1956966,105858,45391,11539,2641,731207,3860,21431,762,9544,1651286,2737688,3740
,溝墘里,1983,2694516,37390,96314,1534899,138197,144793,9155,1528,658329,4500,14206,397,54809,1305870,2465621,4461
,田心里,2100,2502927,35210,109206,1616448,119573,76395,9840,1894,463027,2605,22751,75,45903,1360864,2247156,3098
,春安里,185,180300,586,1900,144372,4550,1397,681,79,21056,0,3699,82,1898,119000,154929,421
,黎明里,1545,1494999,7496,52580,1075044,128264,18161,2885,2938,144981,37558,18370,135,6588,898590,1318458,2397
,大同里,1711,1832793,26910,78550,1167640,99657,53697,4175,1406,366766,3614,14723,57,15598,972653,1637773,2113
,文心里,1222,1669216,27326,58501,945923,70724,39923,15410,994,472020,4910,7305,94,26086,801260,1524553,1782
,同心里,1785,2010726,24281,45920,1273907,87444,65028,8533,1699,454545,1062,16666,247,31394,1056558,1793124,2588
,向心里,1450,1771161,29890,51572,1125256,88332,64505,8612,1298,364643,564,18683,297,17509,959845,1605227,3660
,大業里,2357,2908339,59752,120524,1771222,145739,104421,10621,2099,622645,7191,25296,797,38032,1499942,2635721,4524
,惠中里,2572,4334382,124108,176607,2173098,169777,134967,43715,2390,1372830,1501,60218,970,74201,1870468,4031263,7485
,大誠里,1280,1450054,15681,48694,979002,71245,37941,6839,1074,268160,1814,10137,201,9266,828216,1299277,3349
,大興里,1413,1441995,38563,53205,968769,59131,44780,3846,1838,240406,9963,8184,108,13201,795565,1268791,1782
,寶山里,1732,1625190,28621,20239,1208833,47442,45496,5302,1649,252228,977,10800,0,3602,971309,1387666,459
,三和里,2960,4528625,55644,136540,3054102,161077,74174,18352,4478,935783,7350,26487,952,53687,2657306,4131275,8906
,三義里,2258,2813762,28462,79605,2139347,116430,41552,19168,2708,324052,4635,23378,477,33948,1835964,2508494,5403
,其　他,1,459,0,0,0,0,0,0,0,459,0,0,0,0,0,459,0
,合　計,46020,53687826,929021,1680800,35362853,2373464,1444953,252317,47656,10431114,103114,460705,7287,594541,29640650,47964338,77745
北屯區,北屯里,1154,1117291,14663,31330,781886,62892,24878,2460,1543,168486,1217,6013,278,21646,647094,982491,2021
,三光里,2308,1992205,31149,52774,1472425,111467,33391,5764,2113,252402,1396,19335,156,9834,1199887,1719667,1538
,舊社里,1861,1575564,25655,36682,1205602,75417,23294,8040,1396,161327,507,28032,352,9261,972469,1342431,1234
,水景里,4335,4596640,120619,110328,3083135,190872,84200,20733,3861,879774,4370,46381,1401,50968,2545233,4058304,5847
,軍功里,3505,3259881,70705,76486,2439269,139408,72246,13281,2569,386220,2484,24812,223,32177,1995324,2815938,3246
,和平里,2448,2124402,59266,54487,1519347,106409,52363,12557,1636,271824,1109,28052,648,16705,1229079,1834660,3204
,平田里,1768,1489197,31243,39377,1125520,68582,34458,3819,2480,160089,1127,14766,17,7719,913224,1276925,1054
,東山里,596,496119,12022,10729,333745,24630,14573,3303,448,88831,1102,4936,0,1799,269198,431572,448
,大坑里,507,425020,12206,11215,287648,18344,13572,2007,531,72485,77,3969,0,2965,228195,365567,234
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,民德里,211,187282,5373,6031,126580,10105,4407,1269,80,31595,0,884,0,957,102452,163154,78
,󿾴子里,1544,1851943,52864,41109,1071035,71385,39199,12505,2029,529229,1350,16034,932,14272,883674,1664809,2604
,平和里,1738,1612782,24252,45137,1158551,83815,37662,6747,1527,213300,1995,16082,187,23527,951952,1406139,2135
,民政里,248,264476,7748,7972,135728,10187,7339,2270,141,85896,114,5565,0,1515,108706,237530,75
,松竹里,2858,3093136,49913,107227,2155024,142701,69105,17509,2655,464393,7462,29483,178,47485,1811789,2748137,3089
,仁美里,2510,2845458,59650,62847,1964400,121446,59540,13893,2632,493130,867,28153,1333,37567,1638003,2519278,4807
,仁和里,2609,2956383,62567,82688,1984578,144728,90119,11296,2594,523793,12273,17173,529,24044,1664740,2636542,4259
,四民里,453,331371,7422,8630,243963,22834,10939,845,191,29639,0,4044,913,1951,194676,282048,1883
,同榮里,1696,1636053,24446,22781,1132403,74313,35937,4809,2954,311646,4432,11129,431,10771,925207,1428857,1634
,陳平里,1379,1110714,43386,31376,841570,55397,19317,3386,834,93947,1835,10799,3,8863,674107,943251,998
,后庄里,3103,2976949,51677,69774,2187288,142889,55747,11190,2381,396894,22117,20116,364,16512,1797961,2587306,3726
,仁愛里,295,210192,3504,4583,161263,11306,3757,746,89,20520,0,4168,0,255,126559,177180,149
,北興里,1064,835426,7874,10857,615321,57864,27126,1993,557,100151,2968,6721,99,3895,499821,719830,886
,東光里,1369,1059335,23389,16900,834518,50977,16580,3919,1193,88494,3243,10792,137,9193,666479,891295,1225
,新平里,1165,823717,16518,14652,648715,47923,18359,1365,1452,68660,237,4281,8,1549,516407,691409,709
,水湳里,1943,1736940,32202,59001,1205384,87682,37375,2998,1954,282594,2127,9277,769,15577,977009,1508563,2677
,平安里,1761,1461441,26504,45462,1065703,87331,42593,3932,1366,167475,1695,9284,186,9908,872163,1267893,2336
,平德里,2122,2000183,31591,60771,1388006,103935,63988,12780,2274,291490,4698,20807,0,19845,1150735,1762922,2247
,平順里,1034,830186,16156,27589,638103,37523,19145,3608,737,72341,618,6368,0,7998,513097,705168,713
,大德里,1490,1254908,23612,30326,976178,68074,34662,2571,1176,93200,5405,10462,1171,8071,794882,1073600,3217
,松安里,1589,1297191,24804,24985,994227,61018,20741,3451,1276,148542,2304,11154,0,4690,801518,1104485,734
,松茂里,1714,1477452,13221,35711,1146438,80372,15644,3496,1698,152453,114,14247,217,13842,935595,1266499,1800
,平心里,1531,1291033,17843,44011,983176,57853,25615,2899,1155,140319,610,11852,0,5700,803857,1111721,1640
,平福里,1362,1442059,19257,58507,1043095,77676,27798,6651,1483,182891,3948,12619,74,8059,882865,1281293,1219
,平昌里,1343,1170637,22024,40417,839869,64275,22230,3568,720,156277,2991,10279,179,7808,687679,1018448,2069
,平陽里,1601,1501080,24530,51224,1061498,70598,30623,11284,1253,207551,810,12073,4,29633,872520,1312101,1105
,忠平里,1210,1111252,9672,29069,778100,58599,15200,3990,1020,175882,8860,25684,72,5105,629791,962943,541
,松勇里,1657,1447589,38779,34452,1116271,67959,19306,3194,954,144775,1751,12925,0,7222,904998,1236344,760
,松強里,2023,2458784,50358,54582,1585875,93081,26733,19775,2622,579404,486,14896,0,30973,1326815,2198003,1317
