"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,仁愛里,1165,968547,30195,30190,786310,38470,13540,1596,784,50165,1002,14317,17,1963,639201,820967,899
,竹林里,931,719151,17947,13441,568902,34089,10699,1584,677,65494,59,4518,150,1591,454894,605141,1000
,賢文里,1179,951952,25805,20554,654939,74599,21436,2161,1048,132508,1431,15479,32,1958,525340,822352,870
,東安里,1138,933864,35040,14625,695970,33341,15994,3976,851,125721,506,6793,221,827,552879,791114,1357
,新羣里,799,580229,22222,6117,454801,21052,6260,1544,631,55237,0,9911,0,2453,351746,477550,188
,羅莊里,925,704947,14981,13651,572216,26604,8736,2313,541,53503,30,10004,0,2369,455274,588018,267
,仁德里,340,265911,5420,4168,201556,14031,4079,927,241,28405,0,4769,0,2317,161030,225385,249
,漢民里,1115,872622,31492,26121,607315,55299,20672,2052,898,117134,789,9868,0,983,485387,750695,476
,西安里,880,636429,18936,11094,533056,31220,3359,1297,1087,30852,574,4706,123,126,420693,524066,559
,信義里,1003,875627,30638,33786,654266,51701,20341,3028,1035,64456,633,12189,287,3267,532064,753432,826
,公正里,914,846553,18016,29770,519675,59619,33613,2431,1834,174331,0,5783,44,1437,420729,747566,558
,大新里,448,420773,16960,8641,258277,19912,23480,620,491,86647,570,3118,0,2056,209725,372222,361
,南昌里,696,584934,17597,5287,476521,32600,11308,2064,536,27493,71,8611,16,2830,393582,501995,973
,集祥里,308,279992,10291,9938,157144,15705,31022,1802,266,46587,65,1025,110,6038,127955,250804,479
,南豪里,413,300268,10367,9705,230439,21536,4667,1268,532,18506,0,2403,0,845,183930,253759,77
,樹林里,1238,1163662,28446,43447,853189,75097,16858,4170,876,122157,642,11214,62,7503,703114,1013554,947
,維揚里,893,732247,15784,19289,604709,42293,8348,1201,744,33172,435,5231,0,1041,493595,621133,175
,開明里,394,281395,10587,9572,200858,17455,7694,1429,330,29928,0,2776,0,767,158841,239375,232
,中山里,403,293119,16956,14699,193127,21179,18067,1006,388,24715,8,1300,0,1674,152472,252464,119
,仁和里,267,183212,6905,9682,128415,13393,6426,536,146,16025,33,1813,0,-161,99853,154650,139
